"Continent","Android","Unknown","Windows","iOS","Linux","OS X","macOS","Chrome OS","Samsung"
Ghana ,41.51,15.98,22.08,16.07,1.04,1.34,1.38,0,0
Senegal ,24.98,4.5,62.39,5.37,0,0,1.18,0,0
Bolivia ,28.85,5.17,60.31,2.84,0,0,0,0,0
Kuwait ,42.73,8.52,21.56,22.92,0,2.15,1.01,0,0
Paraguay ,18.35,3.82,70.09,4.23,1.47,0,0,0,0
Lebanon ,19,5.47,62.15,9.77,0,1.52,1.22,0,0
Syrian Arab Republic ,44.3,12.18,39.96,2.33,0,0,0,0,0
Cambodia ,23.96,7.19,42.37,22.69,0,1.47,1.47,0,0
Sudan ,65.84,25.8,5.32,1.79,0,0,0,0,0
Belarus ,22.25,4.82,50.74,14.71,1.31,4.63,1.45,0,0
Costa Rica ,21.8,5.42,53.03,12.27,1.06,3.57,2.36,0,0
Moldova ,34.6,6.48,45.83,8.93,1.47,1.03,1.54,0,0
Albania ,25.31,3.61,29.94,36.33,0,2.34,1.03,0,0
Lithuania ,27.08,5.16,44.64,14.89,1.89,2.89,3.21,0,0
Uganda ,56.27,16.99,18.61,4.75,1.07,0,1.19,0,0
Estonia ,21.14,3.84,51.53,13.96,1.56,4.42,3.37,0,0
Cyprus ,36.02,12.21,29.52,17.09,0,2.58,1.43,0,0
Jamaica ,14.81,4.21,62.57,9.99,1.29,3.22,3.46,0,0
Dominican Republic ,19.7,6.02,46.68,19.62,0,3.5,3.21,0,0
Slovenia ,28.09,5.38,47.1,12.88,1.84,2.68,1.65,0,0
Panama ,18.87,5.92,61.08,8.67,1.18,2.26,1.81,0,0
Zambia ,59.39,20.85,11.73,6.36,0,0,0,0,0
Bosnia and Herzegovina ,36.91,7.31,39.45,11.21,1.29,1.22,1.23,0,1.13
Afghanistan ,68.14,4.99,12.65,11.36,0,2.21,0,0,0
Macedonia ,39.66,5.25,32.3,19.89,0,0,0,0,0
Cote dIvoire ,38.68,10.63,35.41,11.82,0,1.2,1.36,0,0
Angola ,30.91,6.73,48.23,9.59,0,3.08,0,0,0
Honduras ,24.47,5.6,54.96,10.13,1.02,1.48,1.59,0,0
Yemen ,68.1,21.9,5.54,2.56,1.52,0,0,0,0
Kyrgyz Republic ,15.29,3.57,71.98,6.55,1.01,0,0,0,0
El Salvador ,31.34,9.22,44.71,9.09,0,1.83,1.59,1.2,0
Congo (Democratic Republic of the),56.34,18.24,12.2,10.19,1.26,0,0,0,0
Bahrain ,31.08,6.92,28.92,28.72,0,1.61,1.46,0,0
